address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile,amount,contract_address,claimed
0x0000005d3584925bfe774d112b623469533d1655,,,,,,,248506207830771744,,False
0x000250150f8fc5030700090ac5f9006fa3a40134,,,,,,,104753954686171660288,,False
0x000d0cfc0dc5a23576dfe846585fc7c5aa334eca,,,,,,,141452829718748224,,False
0x003e951f051e481f9ef7185afe53cb2084607438,,,,,,,794900329141779840,,False
0x008ee6e633bd28c486bc79b04745627a1eb8f67f,,,,,,,2483000514423572992,,False
0x010bb700d230644a0da1c90e1874d312fbe28612,,,,,,,9811986082297036800,,False
0x0114dce242d65bd31542b36b59eccf7e3b0fd836,,,,,,,48508102712979752,,False
0x0116ce688b93c6adde05aab9b31cf14284304227,,,,,,,142047121489502784,,False
0x01bf598c32c17f3134469c857a6307ed9ae1ee3c,,,,,,,356488729438937280,,False
0x01cc43b396b5ac3e987b12ac067cb4269e571aa3,,,,,,,396125232976341184,,False
0x01f7942fef6439d87b017661e786c517e8287deb,,,,,,,59363934091072225280,,False
0x020721902e8de2fa201ee3db8a392651f6c16558,,,,,,,146766694165609024,,False
0x024f34f97af42add9d86aa175193f247f6c30930,,,,,,,141539499970880176,,False
0x026d98d26303df6e0525853a2bbcd9f10b3537d0,,,,,,,156616829282720224,,False
0x026f89eae0c03c8cd02f021fa7a20c8c7f1bc241,,,,,,,547413514973916672,,False
0x02891877a270d71dc655dfd78f0deaf1c3c4d156,,,,,,,993259715364876928,,False
0x02bc449b248f5c81b5a748db0b45402cd5ffa6b2,,,,,,,596001906352070912,,False
0x03170bbe55076d65e93402470430b4d27c5e2b1f,,,,,,,106684465314786624,,False
0x031e44347de34e0fa0b32d500d0ee656b7fbdb6f,,,,,,,33292427859499568,,False
0x0326e9105a450d9676221a2a887b5c94403a3e44,,,,,,,5970617426737863680,,False
0x033990415282b034d123bd5ce3984f1fa7cc0654,,,,,,,4946197122678393856,,False
0x0345fa5dc69c9ca90a441215e2fa8a0b36469286,,,,,,,2476908407664842240,,False
0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,,,,,,,260346386363566560,,False
0x039abddbaf885513e4c034059986e0fe0473e33a,,,,,,,9811986082297036800,,False
0x03d825a2ad0534e39ec7e72e659ad520e9130d98,,,,,,,9811986082297036800,,False
0x0423601d4c5f782754a45dfa60a6210e9e3f70b1,,,,,,,2056905221899927552,,False
0x042c03a373636693ff4f840ff27ea4a05372420b,,,,,,,5964148702583008256,,False
0x043f8524f87efb25990b65ff4918f9128acf742e,,,,,,,96252477981740859392,,False
0x0496f468498c10977015ce65ffb0398989b639d1,,,,,,,49949252396812206080,,False
0x049808d5eaa90a2665b9703d2246dded34f1eb73,,,,,,,95871141246413012992,,False
0x04b04aabec172c1684a9803cdbdfe72433df689a,,,,,,,55987244802746896,,False
0x04b126831f78534d061d0ddf6c33a779f91aa3de,43065.073690000005,2.0,1.0,2025-03-30 00:00:00,2025-03-30 00:00:00,0.42105263157894735,7327480660025246720,,False
0x04f4caa7548fb57a4a9dc7bd0567da3a40dda6d9,,,,,,,966983401360992000,,False
0x0510f94ab1f1e3a642ecf04e4507396274a61115,,,,,,,89407304401393200,,False
0x051a3190c9342211eb311723b23b8c7cbd7b5a5d,,,,,,,5987225973739719680,,False
0x05783022615f76de7e887aed81307ae39206aa95,,,,,,,1496569771579716608,,False
0x05a07a8b03847926d57f35f2c793b4b83e104c5d,,,,,,,8040168100432088064,,False
0x05c8d482b07954916d066c3fd0668ed00d6561ee,,,,,,,163403854543130720,,False
0x05ca82f89f662962018130cd0707d12c73ab62d4,,,,,,,9811986082297036800,,False
0x05e12a9ac73866d33d1ac754239c632621bc4384,,,,,,,1975638383963518464,,False
0x05fc8144eedd942d07ccc4fd24794415424d5a1f,,,,,,,11682278407881160704,,False
0x063882309dff155ad967bcf08db42e0ee799b602,,,,,,,19709080833393291264,,False
0x06424e61d31f02c2af9c673005f02afa8c213e44,,,,,,,44895268428584264,,False
0x0646108eb63b436ca9259219e0d1b7cee1b63331,,,,,,,49326450445321776,,False
0x067adbab7b27f9a1556436d38de21a3318121049,,,,,,,9811986082297036800,,False
0x06a2b9f378a0a25b70027d2f730278154406582e,,,,,,,9811986082297036800,,False
0x06b44aa25a2f7ab692086772fdd1d3adbdb4d0e0,,,,,,,2500289997506905088,,False
0x06e124df32d6ae6b66810b342351caea53e63377,,,,,,,49515655185640472576,,False
0x06ec79c32ac28a71623926e8c4da1a695e821156,,,,,,,593900833699893888,,False
0x07114a4b8e2b8b036913b09ede519bb1484cfced,,,,,,,2459038978410704896,,False
0x073be86d6cf0a64acf4a67e302d021a2dd4bba02,,,,,,,98996324099029647360,,False
0x078b0b48afca88a54aff387da0b4647f0207f93b,,,,,,,9811986082297036800,,False
